loss,accuracy,val_loss,val_accuracy
0.07727088779211044,0.9776785969734192,0.6578391790390015,0.8414166569709778
0.06723041087388992,0.9811785817146301,0.6877140998840332,0.8400833606719971
0.057873353362083435,0.9841428399085999,0.721965491771698,0.8410000205039978
0.050016533583402634,0.9865714311599731,0.7386918067932129,0.8382499814033508
0.04242481291294098,0.9882500171661377,0.7746691703796387,0.8395833373069763
0.03602617606520653,0.9909642934799194,0.8031613230705261,0.840499997138977
0.030833497643470764,0.9925714135169983,0.8531261682510376,0.8398333191871643
0.02635466679930687,0.9938214421272278,0.8661367297172546,0.8373333215713501
0.022168105468153954,0.9949643015861511,0.8942088484764099,0.8390833139419556
0.018678169697523117,0.9957143068313599,0.9289620518684387,0.8391666412353516
